DenunciaID;Fecha_Creacion;Comuna;Motivo_Denuncia;Rubro
14544;2019-10-18 16:14:03;7;Falta de Informacion;MUEBLES
14544;2019-10-18 16:14:03;7;Falta de cumplimento garantia posventa;MUEBLES
14545;2019-10-18 16:27:42;14;Producto no funciona;MUEBLES
14546;2019-10-18 16:46:28;13;Falta de Entrega del bien;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
14547;2019-10-18 17:01:54;1;Falta de Entrega del bien;TEXTIL, CALZADO Y MARROQUINERIA
14547;2019-10-18 17:01:54;1;Demora en la entrega del bien;TEXTIL, CALZADO Y MARROQUINERIA
14547;2019-10-18 17:01:54;1;Rechazo de la devolucion del bien;TEXTIL, CALZADO Y MARROQUINERIA
14548;2019-10-18 17:26:09;15;Falta de entrega o emision del documento de contratacion del servicio: presupuestos, constancias de pagos,   solicitud de servicios, reglamento general de prestaciones.;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
14549;2019-10-18 17:42:15;13;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS DE TRANSPORTE TERRESTRE DE PASAJEROS Y CARGAS
14550;2019-10-21 08:35:59;13;Deficiente calidad en la prestacion del servicio;SERVICIOS Y EVENTOS DE ESPARCIMIENTO CULTURALES Y/O DEPORTIVOS
14551;2019-10-21 08:40:26;12;Falta de Entrega del bien;TELEFONIA Y REDES
14552;2019-10-21 08:46:57;6;Falta de Entrega del bien;TELEFONIA Y REDES
14553;2019-10-21 08:51:58;14;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
14554;2019-10-21 08:53:09;11;Falta de Entrega del bien;JUEGOS Y JUGUETES
14554;2019-10-21 08:53:09;11;Rechazo de la devolucion del bien;JUEGOS Y JUGUETES
14554;2019-10-21 08:53:09;11;Cobro de gastos de entrega no informados o convenidos;JUEGOS Y JUGUETES
14555;2019-10-21 08:53:45;6;Deficiente calidad en la prestacion del servicio;SERVICIOS DE COMUNICACIONES
14557;2019-10-21 08:57:34;15;Clausulas abusivas o no convenidas;RODADOS, AUTOMOTORES Y EMBARCACIONES
14558;2019-10-21 08:58:57;7;Falta de procesamiento de baja del servicio/ gastos asociados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
14559;2019-10-21 09:03:42;7;Falta de cumplimento garantia posventa;PERFUMERIA Y LIMPIEZA
14560;2019-10-21 09:19:55;9;Falta de cumplimento garantia posventa;RODADOS, AUTOMOTORES Y EMBARCACIONES
14561;2019-10-21 09:37:11;2;Clausulas abusivas o no convenidas;SEGURIDAD
14562;2019-10-21 10:06:07;7;Debito o imposicion de seguros no solicitados, convenidos o autorizados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
14563;2019-10-21 10:06:20;14;Debito o imposicion de seguros no solicitados, convenidos o autorizados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
14564;2019-10-21 10:09:57;11;Deficiente calidad en la prestacion del servicio;SERVICIOS DE TRANSPORTE TERRESTRE DE PASAJEROS Y CARGAS
14565;2019-10-21 10:10:44;12;Debitos y/o cobros indebidos;ALQUILER DE VEHICULOS Y SERVICIO DE REMOLQUE
14566;2019-10-21 10:20:30;9;Falta de Informacion;SERVICIOS Y EVENTOS DE ESPARCIMIENTO CULTURALES Y/O DEPORTIVOS
14567;2019-10-21 10:25:54;11;Falta de Entrega del bien;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
14568;2019-10-21 10:30:02;9;Falta de Informacion;SERVICIOS DE COMUNICACIONES
14569;2019-10-21 10:32:22;2;Producto no funciona;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
14570;2019-10-21 10:36:53;15;Deficiente calidad en la prestacion del servicio;SERVICIOS DE COMUNICACIONES
14571;2019-10-21 10:38:47;2;Falta de Informacion;Servicios turisticos hoteles, hosterias, albergues, etc.
14572;2019-10-21 10:52:44;14;Clausulas abusivas o no convenidas;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
14573;2019-10-21 10:53:30;12;Deficiente calidad en la prestacion del servicio;SERVICIOS DE COMUNICACIONES
14574;2019-10-21 11:05:29;11;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS PARA EL AUTOMOTOR
14576;2019-10-21 11:16:05;14;Falta de procesamiento de baja del servicio/ gastos asociados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
14577;2019-10-21 11:31:46;4;Clausulas abusivas o no convenidas;RODADOS, AUTOMOTORES Y EMBARCACIONES
14578;2019-10-21 11:33:09;11;Deficiente calidad en la prestacion del servicio;SERVICIOS DE COMUNICACIONES
14579;2019-10-21 11:36:11;15;Rechazo de la devolucion del bien;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
14580;2019-10-21 11:42:27;12;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS DE COMUNICACIONES
14581;2019-10-21 11:50:44;13;Producto no funciona;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
14582;2019-10-21 11:51:31;3;Falta de Informacion;Servicios turisticos hoteles, hosterias, albergues, etc.
14582;2019-10-21 11:51:31;3;Debitos y/o cobros indebidos;Servicios turisticos hoteles, hosterias, albergues, etc.
14583;2019-10-21 11:57:36;4;Clausulas abusivas o no convenidas;ARTICULOS DE LECTURA Y AUDIOVISUALES
14584;2019-10-21 11:58:50;14;Producto no funciona;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
14585;2019-10-21 12:01:10;15;Falta de Informacion;RODADOS, AUTOMOTORES Y EMBARCACIONES
14586;2019-10-21 12:14:10;7;Producto no funciona;TELEFONIA Y REDES
14587;2019-10-21 12:14:59;7;Producto no funciona;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
14588;2019-10-21 12:15:31;15;Producto no funciona;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
14589;2019-10-21 12:18:39;9;Falta de Informacion;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
14590;2019-10-21 12:30:33;9;Falta de Informacion;SERVICIOS DE COMUNICACIONES
14591;2019-10-21 12:32:04;2;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
14592;2019-10-21 12:38:20;11;Debito o imposicion de seguros no solicitados, convenidos o autorizados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
14594;2019-10-21 12:49:23;14;Debitos y/o cobros indebidos;Servicios turisticos hoteles, hosterias, albergues, etc.
14595;2019-10-21 12:50:21;13;Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Publicidad  Enganosa;ALIMENTOS Y BEBIDAS
14596;2019-10-21 13:00:15;7;Falta de Entrega del bien;TELEFONIA Y REDES
14598;2019-10-21 13:04:59;13;Incumplimiento del servicio;COMPRA POR INTERNET
14599;2019-10-21 13:16:52;3;Falta de procesamiento de baja del servicio/ gastos asociados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
14600;2019-10-21 13:31:14;2;Debito o imposicion de seguros no solicitados, convenidos o autorizados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
14601;2019-10-21 13:40:43;11;Falta de Informacion;SERVICIOS DE COMUNICACIONES
14602;2019-10-21 13:57:49;15;Falta de cumplimento garantia posventa;TEXTIL, CALZADO Y MARROQUINERIA
14603;2019-10-21 13:58:27;7;Deficiente calidad en la prestacion del servicio;SERVICIOS DE COMUNICACIONES
14604;2019-10-21 14:10:29;14;Debitos y/o cobros indebidos;SERVICIOS PUBLICOS DOMICILIARIOS
14605;2019-10-21 14:12:45;2;Falta de Entrega del bien;TELEFONIA Y REDES
14606;2019-10-21 14:41:53;7;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS DE COMUNICACIONES
14607;2019-10-21 15:11:20;2;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
14608;2019-10-21 15:15:47;1;Falta de Entrega del bien;MUEBLES
14608;2019-10-21 15:15:47;1;Falta de Informacion;MUEBLES
14609;2019-10-21 15:35:45;13;Rechazo de la devolucion del bien;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
14609;2019-10-21 15:35:45;13;Falta de Entrega del bien;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
14609;2019-10-21 15:35:45;13;Falta de Informacion;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
14609;2019-10-21 15:35:45;13;Falta de entrega del documento de venta del producto: factura, remito, ticket, etc.;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
14610;2019-10-21 15:46:29;14;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS DE COMUNICACIONES
14610;2019-10-21 15:46:29;14;Deficiente calidad en la prestacion del servicio;SERVICIOS DE COMUNICACIONES
14611;2019-10-21 16:04:40;11;Falta de cumplimento garantia posventa;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
14612;2019-10-21 17:04:57;12;Deficiente calidad en la prestacion del servicio;SERVICIOS DE COMUNICACIONES
14613;2019-10-21 17:19:36;2;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS DE COMUNICACIONES
14614;2019-10-21 17:25:45;2;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS DE COMUNICACIONES
14616;2019-10-21 18:31:45;7;Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Publicidad  Enganosa;ALIMENTOS Y BEBIDAS
14617;2019-10-22 08:32:39;6;Falta de Informacion;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
14618;2019-10-22 08:33:04;1;Falta de Informacion;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
14619;2019-10-22 08:54:02;6;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS DE COMUNICACIONES
14620;2019-10-22 09:00:22;14;Deficiente calidad en la prestacion del servicio;SERVICIOS DE TRANSPORTE TERRESTRE DE PASAJEROS Y CARGAS
14621;2019-10-22 09:15:35;7;Falta de Entrega del bien;INFORMATICA
14622;2019-10-22 09:20:56;9;Falta de Informacion;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
14623;2019-10-22 09:22:02;11;Rechazo de la devolucion del bien;TEXTIL, CALZADO Y MARROQUINERIA
14624;2019-10-22 09:27:18;6;Producto no funciona;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
14625;2019-10-22 09:30:08;3;Falta de cumplimento garantia posventa;TEXTIL, CALZADO Y MARROQUINERIA
14626;2019-10-22 09:30:57;2;Falta de Entrega del bien;TELEFONIA Y REDES
14627;2019-10-22 09:47:08;11;Clausulas abusivas o no convenidas;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
14628;2019-10-22 09:50:08;14;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS DE COMUNICACIONES
14629;2019-10-22 09:59:55;2;Clausulas abusivas o no convenidas;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
14630;2019-10-22 10:20:33;9;Falta de Informacion;SERVICIOS DE COMUNICACIONES
14631;2019-10-22 10:23:00;13;Falta de cumplimento garantia posventa;TEXTIL, CALZADO Y MARROQUINERIA
14632;2019-10-22 10:23:31;6;Deficiente calidad en la prestacion del servicio;SERVICIOS DE COMUNICACIONES
14633;2019-10-22 10:27:44;11;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS DE COMUNICACIONES
14634;2019-10-22 10:29:49;13;Debito o imposicion de seguros no solicitados, convenidos o autorizados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
14635;2019-10-22 10:29:54;2;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS DE COMUNICACIONES
14636;2019-10-22 10:36:32;1;Falta de Informacion;SERVICIOS DE COMUNICACIONES
14637;2019-10-22 10:44:30;2;Incumplimiento del servicio;COMPRA POR INTERNET
14639;2019-10-22 11:12:11;1;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS DE COMUNICACIONES
14640;2019-10-22 11:14:36;2;Deficiente calidad en la prestacion del servicio;SERVICIOS DE COMUNICACIONES
14641;2019-10-22 11:25:26;7;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS DE COMUNICACIONES
14643;2019-10-22 11:42:26;2;Debito o imposicion de seguros no solicitados, convenidos o autorizados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
14644;2019-10-22 11:43:28;4;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS DE COMUNICACIONES
14645;2019-10-22 11:44:17;9;Falta de Informacion;SERVICIOS DE COMUNICACIONES
14647;2019-10-22 11:54:21;4;Deficiente calidad en la prestacion del servicio;SERVICIOS DE COMUNICACIONES
14648;2019-10-22 12:26:25;7;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS DE COMUNICACIONES
14649;2019-10-22 12:31:47;3;Incumplimiento total de la prestacion del servicio  contratado;SALUD
14650;2019-10-22 12:37:50;15;Producto no funciona;TELEFONIA Y REDES
14651;2019-10-22 12:40:35;11;Falta de Informacion;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
14652;2019-10-22 12:52:06;6;Deficiente calidad en la prestacion del servicio;SERVICIOS DE COMUNICACIONES
14653;2019-10-22 13:01:08;4;Deficiente calidad en la prestacion del servicio;SERVICIOS DE COMUNICACIONES
14654;2019-10-22 13:22:57;2;Debitos y/o cobros indebidos;Servicios turisticos hoteles, hosterias, albergues, etc.
14655;2019-10-22 13:31:46;6;Deficiente calidad en la prestacion del servicio;SERVICIOS DE COMUNICACIONES
14655;2019-10-22 13:31:46;6;Falta de entrega o emision del documento de contratacion del servicio: presupuestos, constancias de pagos,   solicitud de servicios, reglamento general de prestaciones.;SERVICIOS DE COMUNICACIONES
14655;2019-10-22 13:31:46;6;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS DE COMUNICACIONES
14656;2019-10-22 13:46:41;11;Falta de procesamiento de baja del servicio/ gastos asociados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
14657;2019-10-22 13:56:56;6;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS DE TRANSPORTE TERRESTRE DE PASAJEROS Y CARGAS
14659;2019-10-22 14:13:24;2;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS DE COMUNICACIONES
14660;2019-10-22 14:15:04;11;Falta de cumplimento garantia posventa;TEXTIL, CALZADO Y MARROQUINERIA
14662;2019-10-22 14:26:52;14;Deficiente calidad en la prestacion del servicio;SERVICIOS DE COMUNICACIONES
14663;2019-10-22 14:57:51;2;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS DE COMUNICACIONES
14664;2019-10-22 15:00:15;7;Deficiente calidad en la prestacion del servicio;SERVICIOS DE COMUNICACIONES
14665;2019-10-22 18:00:09;15;Falta de Entrega del bien;ALIMENTOS Y BEBIDAS
14666;2019-10-22 18:40:42;14;Deficiente calidad en la prestacion del servicio;SERVICIOS DE COMUNICACIONES
14666;2019-10-22 18:40:42;14;Falta de Informacion;SERVICIOS DE COMUNICACIONES
14667;2019-10-23 08:25:02;6;Deficiente calidad en la prestacion del servicio;SERVICIOS DE COMUNICACIONES
14668;2019-10-23 08:28:51;1;Bloqueo de la tarjeta;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
14669;2019-10-23 08:36:16;14;Falta de Entrega del bien;RODADOS, AUTOMOTORES Y EMBARCACIONES
14669;2019-10-23 08:36:16;14;Demora en la entrega del bien;RODADOS, AUTOMOTORES Y EMBARCACIONES
14669;2019-10-23 08:36:16;14;Clausulas abusivas o no convenidas;RODADOS, AUTOMOTORES Y EMBARCACIONES
14671;2019-10-23 09:00:20;6;Falta de Informacion;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
14672;2019-10-23 09:03:38;11;Clausulas abusivas o no convenidas;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
14673;2019-10-23 09:05:52;9;Deficiente calidad en la prestacion del servicio;SERVICIOS DE COMUNICACIONES
14674;2019-10-23 09:07:29;13;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS DE COMUNICACIONES
14675;2019-10-23 09:10:10;9;Deficiente calidad en la prestacion del servicio;SERVICIOS DE COMUNICACIONES
14676;2019-10-23 09:17:21;14;Producto no funciona;CONSTRUCCION Y EQUIPAMIENTO DEL HOGAR
14677;2019-10-23 09:30:40;2;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS DE COMUNICACIONES
14678;2019-10-23 09:35:01;13;Rechazo de la devolucion del bien;MUEBLES
14679;2019-10-23 09:46:49;2;Producto no funciona;INFORMATICA
14680;2019-10-23 09:53:46;4;Falta de cumplimento garantia posventa;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
14681;2019-10-23 10:01:31;7;Falta de entrega o emision del documento de contratacion del servicio: presupuestos, constancias de pagos,   solicitud de servicios, reglamento general de prestaciones.;SERVICIOS DE COMUNICACIONES
14682;2019-10-23 10:08:59;11;Debitos y/o cobros indebidos;SERVICIOS PUBLICOS DOMICILIARIOS
14684;2019-10-23 10:10:04;7;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS DE COMUNICACIONES
14685;2019-10-23 10:37:29;9;Falta de Informacion;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
14687;2019-10-23 11:07:42;11;Clausulas abusivas o no convenidas;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
14688;2019-10-23 11:12:00;2;Deficiente calidad en la prestacion del servicio;SERVICIOS DE CONSTRUCCION PARA EL HOGAR Y COMERCIALIZACION DE INMUEBLES
14689;2019-10-23 11:22:04;1;Deficiente calidad en la prestacion del servicio;SERVICIOS Y EVENTOS DE ESPARCIMIENTO CULTURALES Y/O DEPORTIVOS
14689;2019-10-23 11:22:04;1;Falta de Informacion;SERVICIOS Y EVENTOS DE ESPARCIMIENTO CULTURALES Y/O DEPORTIVOS
14690;2019-10-23 11:30:50;6;Falta de cumplimento garantia posventa;MUEBLES
14691;2019-10-23 11:35:53;7;Falta de Informacion;SERVICIOS DE COMUNICACIONES
14692;2019-10-23 11:42:40;7;Falta de procesamiento de baja del servicio/ gastos asociados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
14693;2019-10-23 12:11:33;11;Falta de cumplimento garantia posventa;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
14695;2019-10-23 12:18:44;7;Clausulas abusivas o no convenidas;TELEFONIA Y REDES
14695;2019-10-23 12:18:44;7;Demora en la entrega del bien;TELEFONIA Y REDES
14695;2019-10-23 12:18:44;7;Producto no funciona;TELEFONIA Y REDES
14695;2019-10-23 12:18:44;7;Falta de Entrega del bien;TELEFONIA Y REDES
14695;2019-10-23 12:18:44;7;Falta de entrega del documento de venta del producto: factura, remito, ticket, etc.;TELEFONIA Y REDES
14695;2019-10-23 12:18:44;7;Falta de Informacion;TELEFONIA Y REDES
14695;2019-10-23 12:18:44;7;Falta de cumplimento garantia posventa;TELEFONIA Y REDES
14696;2019-10-23 12:25:44;3;Debito o imposicion de seguros no solicitados, convenidos o autorizados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
14697;2019-10-23 12:32:48;3;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS DE TRANSPORTE TERRESTRE DE PASAJEROS Y CARGAS
14698;2019-10-23 12:37:29;11;Falta de Informacion;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
14700;2019-10-23 12:40:40;14;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
14702;2019-10-23 12:59:19;14;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS DE COMUNICACIONES
14704;2019-10-23 13:16:13;7;Debito o imposicion de seguros no solicitados, convenidos o autorizados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
14705;2019-10-23 13:20:31;14;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS DE COMUNICACIONES
14706;2019-10-23 13:33:43;15;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
14707;2019-10-23 13:34:22;3;Rechazo de la devolucion del bien;RODADOS, AUTOMOTORES Y EMBARCACIONES
14708;2019-10-23 13:39:49;1;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS DE COMUNICACIONES
14710;2019-10-23 13:41:37;7;Falta de Informacion;SERVICIOS DE COMUNICACIONES
14711;2019-10-23 14:06:28;7;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS PUBLICOS DOMICILIARIOS
14713;2019-10-23 14:16:45;2;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS DE COMUNICACIONES
14714;2019-10-23 14:17:19;1;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
14715;2019-10-23 14:25:12;13;Demora en la entrega del bien;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
14717;2019-10-23 17:17:32;1;Falta de Informacion;SERVICIOS DE COMUNICACIONES
14718;2019-10-23 20:03:31;3;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS DE COMUNICACIONES
14719;2019-10-24 08:25:35;2;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS DE COMUNICACIONES
14720;2019-10-24 08:36:10;1;Producto no funciona;TEXTIL, CALZADO Y MARROQUINERIA
14721;2019-10-24 08:40:35;11;Clausulas abusivas o no convenidas;SERVICIOS DE CONSTRUCCION PARA EL HOGAR Y COMERCIALIZACION DE INMUEBLES
14722;2019-10-24 08:50:52;12;Falta de Informacion;SERVICIOS DE COMUNICACIONES
14723;2019-10-24 09:05:48;6;Clausulas abusivas o no convenidas;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
14724;2019-10-24 09:15:52;11;Deficiente calidad en la prestacion del servicio;SERVICIOS DE COMUNICACIONES
14725;2019-10-24 09:18:55;13;Producto no funciona;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
14728;2019-10-24 09:53:57;6;Falta de Informacion;SERVICIOS DE COMUNICACIONES
14730;2019-10-24 10:01:09;14;Falta de entrega del documento de venta del producto: factura, remito, ticket, etc.;BAZAR Y DECORACION
14731;2019-10-24 10:11:31;12;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS DE COMUNICACIONES
14732;2019-10-24 10:36:37;1;Debito o imposicion de seguros no solicitados, convenidos o autorizados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
14735;2019-10-24 10:55:43;15;Producto no funciona;RODADOS, AUTOMOTORES Y EMBARCACIONES
14736;2019-10-24 10:59:50;3;Deficiente calidad en la prestacion del servicio;SERVICIOS DE COMUNICACIONES
14737;2019-10-24 11:02:17;3;Falta de Informacion;SERVICIOS DE COMUNICACIONES
14738;2019-10-24 11:33:12;7;Falta de Informacion;RODADOS, AUTOMOTORES Y EMBARCACIONES
14739;2019-10-24 11:36:42;1;Falta de Informacion;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
14740;2019-10-24 11:39:06;15;Producto no funciona;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
14740;2019-10-24 11:39:06;15;Falta de cumplimento garantia posventa;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
14741;2019-10-24 11:48:48;9;Debitos y/o cobros indebidos;Servicios turisticos hoteles, hosterias, albergues, etc.
14742;2019-10-24 11:53:38;11;Falta de procesamiento de baja del servicio/ gastos asociados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
14743;2019-10-24 11:53:55;2;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
14744;2019-10-24 11:56:39;6;Falta de Informacion;SERVICIOS DE COMUNICACIONES
14745;2019-10-24 12:00:09;13;Falta de Informacion;SERVICIOS DE COMUNICACIONES
14746;2019-10-24 12:09:53;12;Falta de Informacion;SERVICIOS DE TRANSPORTE TERRESTRE DE PASAJEROS Y CARGAS
14747;2019-10-24 12:16:46;13;Producto no funciona;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
14748;2019-10-24 12:23:45;15;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS DE COMUNICACIONES
14750;2019-10-24 12:45:43;3;Falta de procesamiento de baja del servicio/ gastos asociados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
14751;2019-10-24 12:47:35;15;Clausulas abusivas o no convenidas;SALUD
14752;2019-10-24 12:57:28;7;Falta de entrega o emision del documento de contratacion del servicio: presupuestos, constancias de pagos,   solicitud de servicios, reglamento general de prestaciones.;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
14753;2019-10-24 12:57:58;3;Rechazo de la devolucion del bien;TELEFONIA Y REDES
14754;2019-10-24 13:04:14;3;Falta de Informacion;SERVICIOS DE COMUNICACIONES
14755;2019-10-24 13:05:09;12;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS DE COMUNICACIONES
14756;2019-10-24 13:16:55;3;Debito o imposicion de seguros no solicitados, convenidos o autorizados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
14757;2019-10-24 13:19:11;4;Debito o imposicion de seguros no solicitados, convenidos o autorizados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
14758;2019-10-24 13:21:06;6;Deficiente calidad en la prestacion del servicio;ENSEÑANZA
14761;2019-10-24 13:47:13;12;Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Publicidad  Enganosa;ALIMENTOS Y BEBIDAS
14762;2019-10-24 13:53:58;6;Aumento de  cuota no autorizado/no notificado con anticipacion debida;SALUD
14763;2019-10-24 14:14:39;1;Falta de procesamiento de baja del servicio/ gastos asociados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
14765;2019-10-24 14:27:29;11;Falta de Informacion;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
14767;2019-10-24 14:39:35;2;Falta de procesamiento de baja del servicio/ gastos asociados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
14768;2019-10-24 14:46:32;2;Producto no funciona;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
